time,strain
0.25,1.2354330428424082e-22
0.25001600160016,1.2498160197944643e-22
0.25003200320032004,1.270169868771659e-22
0.25004800480048006,1.2519232061206597e-22
0.2500640064006401,1.2548550872541746e-22
0.2500800080008001,1.2482547068792265e-22
0.2500960096009601,1.2920888060287968e-22
0.2501120112011201,1.2676135152612805e-22
0.2501280128012801,1.3096380495075543e-22
0.25014401440144013,1.285653309867137e-22
0.25016001600160015,1.326722725636916e-22
0.25017601760176017,1.2973249006765982e-22
0.2501920192019202,1.32376539743969e-22
0.2502080208020802,1.3147868748136316e-22
0.25022402240224023,1.280821010323777e-22
0.25024002400240025,1.353925063551519e-22
0.2502560256025603,1.3245832010261988e-22
0.2502720272027203,1.3114957279468577e-22
0.2502880288028803,1.333265758096329e-22
0.2503040304030403,1.3643126694959726e-22
0.2503200320032003,1.327174221384972e-22
0.2503360336033603,1.33483676751001e-22
0.25035203520352034,1.3516459650032433e-22
0.25036803680368036,1.3333706159454378e-22
0.2503840384038404,1.322324638706873e-22
0.2504000400040004,1.3279467572680334e-22
0.2504160416041604,1.3259859929596832e-22
0.25043204320432044,1.3424011829809793e-22
0.25044804480448046,1.3295980967728825e-22
0.2504640464046405,1.3580271209874128e-22
0.2504800480048005,1.324024929854692e-22
0.25049604960496047,1.3455899407290718e-22
0.2505120512051205,1.3976376556669435e-22
0.2505280528052805,1.360960753245321e-22
0.25054405440544053,1.3656824809027155e-22
0.25056005600560055,1.353923883292669e-22
0.25057605760576057,1.3516238179989155e-22
0.2505920592059206,1.394889526473266e-22
0.2506080608060806,1.4043919710466905e-22
0.25062406240624063,1.3478659533645314e-22
0.25064006400640065,1.3594444972221541e-22
0.2506560656065607,1.337146827155074e-22
0.2506720672067207,1.3834135561299805e-22
0.2506880688068807,1.41153147501269e-22
0.2507040704070407,1.3501169573746434e-22
0.2507200720072007,1.3364540619643454e-22
0.2507360736073607,1.3568452964788917e-22
0.25075207520752074,1.4096409133752005e-22
0.25076807680768076,1.3669322729451373e-22
0.2507840784078408,1.4059158859437334e-22
0.2508000800080008,1.3983534511321037e-22
0.2508160816081608,1.3359820795625322e-22
0.25083208320832084,1.3416947428509083e-22
0.25084808480848086,1.3398485271902955e-22
0.2508640864086409,1.3892729573037786e-22
0.2508800880088009,1.3762018144780576e-22
0.25089608960896087,1.3376029203532928e-22
0.2509120912091209,1.341316385055991e-22
0.2509280928092809,1.3821988693226836e-22
0.25094409440944093,1.3339367506032569e-22
0.25096009600960095,1.3198560514088595e-22
0.250976097609761,1.3204191904611616e-22
0.250992099209921,1.3061661853078855e-22
0.251008100810081,1.3586865647769843e-22
0.25102410241024103,1.3154408212072334e-22
0.25104010401040106,1.2772700589173773e-22
0.2510561056105611,1.3331172653766833e-22
0.2510721072107211,1.2603218317891913e-22
0.25108810881088106,1.26784322460349e-22
0.2511041104110411,1.3163583847952713e-22
0.2511201120112011,1.2787504789963833e-22
0.2511361136113611,1.2836110221880034e-22
0.25115211521152114,1.2680683452217216e-22
0.25116811681168116,1.2515308135583487e-22
0.2511841184118412,1.2056472027586685e-22
0.2512001200120012,1.2551906683729418e-22
0.2512161216121612,1.1931037193645278e-22
0.25123212321232125,1.196097942808075e-22
0.25124812481248127,1.1808746275206536e-22
0.2512641264126413,1.2119068101657497e-22
0.2512801280128013,1.1486447812972852e-22
0.25129612961296127,1.1844492964470577e-22
0.2513121312131213,1.1335283471399533e-22
0.2513281328132813,1.11604137963593e-22
0.25134413441344133,1.0908042066003194e-22
0.25136013601360135,1.1293246039499225e-22
0.2513761376137614,1.0632695328691613e-22
0.2513921392139214,1.0750912743942975e-22
0.2514081408140814,1.095423051360395e-22
0.25142414241424144,1.0209493301010593e-22
0.25144014401440146,1.0430247444460206e-22
0.2514561456145615,9.967404576544847e-23
0.2514721472147215,9.645172311794078e-23
0.25148814881488146,1.0129217329004779e-22
0.2515041504150415,9.490631381539934e-23
0.2515201520152015,9.654842578312288e-23
0.2515361536153615,9.285801290707598e-23
0.25155215521552154,9.02809603417593e-23
0.25156815681568157,9.250835638337401e-23
0.2515841584158416,9.004340853581475e-23
0.2516001600160016,8.472295544432093e-23
0.2516161616161616,8.700715179706867e-23
0.25163216321632165,7.886907174590847e-23
0.25164816481648167,7.708155180856333e-23
0.2516641664166417,7.416167954659703e-23
0.25168016801680165,7.322214997305246e-23
0.2516961696169617,7.063276815646466e-23
0.2517121712171217,7.439019339317579e-23
0.2517281728172817,7.234151620764896e-23
0.25174417441744174,6.375553210897654e-23
0.25176017601760176,6.273193190832162e-23
0.2517761776177618,6.066316124329091e-23
0.2517921792179218,6.178185504302416e-23
0.2518081808180818,6.234158276009714e-23
0.25182418241824184,5.757223703980658e-23
0.25184018401840186,5.125927513686324e-23
0.2518561856185619,5.305978450846624e-23
0.2518721872187219,4.9891692404779875e-23
0.25188818881888186,4.463593596334744e-23
0.2519041904190419,4.8378636507077075e-23
0.2519201920192019,4.3376902451875494e-23
0.2519361936193619,4.3993557875525993e-23
0.25195219521952195,3.8346191676762513e-23
0.25196819681968197,3.439029467212472e-23
0.251984198419842,3.34553427605089e-23
0.252000200020002,3.061240613473677e-23
0.25201620162016203,3.216831939834197e-23
0.25203220322032205,2.3646927983901245e-23
0.25204820482048207,2.295741227728109e-23
0.2520642064206421,2.0420584232106995e-23
0.25208020802080205,2.4120623377637636e-23
0.2520962096209621,1.8913910491436422e-23
0.2521122112211221,1.6335812101507527e-23
0.2521282128212821,1.0353602876542888e-23
0.25214421442144214,8.99205792089941e-24
0.25216021602160216,1.1639634440041377e-23
